Age,visit_per_week,weekend_ratio,avg_time_in_gym,num_classes_attended,ratio_cardio,ratio_strength,ratio_mind_body,sauna_session_impact,gender,abonoment_type,name_personal_trainer,uses_sauna,drink_abo,berry_boost,black_currant,coconut_pineapple,lemon,orange,passion_fruit,Gym_Cluster
14,3,0.3333333333333333,119,0.0,0.0,0.0,0.0,119,Male,Premium,Jeffrey,True,True,0,0,1,1,0,0,1
16,1,0.0,112,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,1
35,1,0.0,102,3.0,0.3333333333333333,0.0,0.6666666666666666,0,Male,Standard,Chantal,False,True,0,0,1,0,0,0,0
19,3,0.3333333333333333,118,1.0,1.0,0.0,0.0,0,Male,Premium,No one,False,True,1,0,0,0,0,1,0
32,5,0.4,114,3.0,0.3333333333333333,0.0,0.6666666666666666,0,Male,Standard,Chantal,False,True,1,0,0,0,0,0,0
27,1,0.0,91,0.0,0.0,0.0,0.0,91,Female,Premium,No one,True,True,0,0,0,0,1,0,1
21,3,0.0,81,3.0,0.6666666666666666,0.3333333333333333,0.0,81,Female,Premium,No one,True,True,0,0,1,0,1,0,0
36,3,0.3333333333333333,130,0.0,0.0,0.0,0.0,130,Male,Premium,Jeffrey,True,False,0,0,0,0,0,0,1
24,5,0.4,160,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,True,0,1,0,1,0,0,1
42,3,0.6666666666666666,98,2.0,0.5,0.0,0.0,98,Female,Premium,Chantal,True,False,0,0,0,0,0,0,0
47,2,0.5,86,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,86,Female,Premium,Hanna,True,False,0,0,0,0,0,0,0
20,5,0.2,159,0.0,0.0,0.0,0.0,159,Male,Premium,Mike,True,False,0,0,0,0,0,0,1
34,3,0.6666666666666666,161,1.0,0.0,1.0,0.0,161,Male,Standard,No one,True,True,0,0,0,0,1,0,2
43,5,0.4,79,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
40,2,0.5,118,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,1
44,1,0.0,135,0.0,0.0,0.0,0.0,0,Male,Premium,No one,False,True,1,0,1,0,0,0,1
18,2,0.0,107,1.0,0.0,0.0,0.0,107,Female,Premium,No one,True,True,0,1,0,0,0,1,1
16,3,0.3333333333333333,107,0.0,0.0,0.0,0.0,107,Female,Premium,Hanna,True,True,0,0,1,0,0,0,1
35,1,1.0,58,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
29,1,0.0,99,1.0,0.0,0.0,1.0,0,Female,Premium,Chantal,False,True,0,1,0,1,0,0,0
28,1,1.0,142,0.0,0.0,0.0,0.0,142,Female,Standard,Hanna,True,True,0,0,1,0,0,1,1
48,2,0.0,158,0.0,0.0,0.0,0.0,158,Male,Premium,Hanna,True,False,0,0,0,0,0,0,1
43,4,0.25,175,1.0,1.0,0.0,0.0,0,Female,Standard,Hanna,False,False,0,0,0,0,0,0,0
35,3,0.3333333333333333,87,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
26,5,0.2,136,1.0,0.0,0.0,1.0,136,Male,Premium,Jeffrey,True,False,0,0,0,0,0,0,0
48,3,0.0,137,2.0,0.0,0.0,1.0,137,Female,Premium,Chantal,True,False,0,0,0,0,0,0,0
44,2,0.5,161,2.0,0.5,0.5,0.0,161,Female,Premium,No one,True,True,0,1,0,0,0,1,0
45,3,0.3333333333333333,93,0.0,0.0,0.0,0.0,93,Male,Standard,No one,True,True,0,0,1,0,0,1,1
28,2,0.5,82,2.0,0.0,0.5,0.5,82,Male,Premium,No one,True,False,0,0,0,0,0,0,0
20,2,0.5,69,2.0,0.5,0.0,0.5,0,Female,Premium,No one,False,False,0,0,0,0,0,0,0
43,4,0.25,161,1.0,0.0,0.0,1.0,0,Female,Standard,Mike,False,True,1,0,0,0,1,0,0
24,2,0.5,162,3.0,0.3333333333333333,0.3333333333333333,0.0,162,Male,Standard,Chantal,True,True,0,1,0,0,0,0,0
22,3,0.3333333333333333,71,0.0,0.0,0.0,0.0,71,Male,Standard,No one,True,False,0,0,0,0,0,0,1
23,3,0.3333333333333333,162,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
46,5,0.2,30,2.0,0.0,0.5,0.5,30,Male,Premium,Chantal,True,False,0,0,0,0,0,0,0
17,2,0.0,86,1.0,0.0,1.0,0.0,86,Male,Premium,No one,True,False,0,0,0,0,0,0,2
36,2,0.5,122,2.0,0.5,0.5,0.0,122,Female,Standard,Chantal,True,True,0,0,0,0,1,0,0
47,3,0.3333333333333333,107,0.0,0.0,0.0,0.0,0,Female,Premium,Chantal,False,False,0,0,0,0,0,0,1
29,3,0.3333333333333333,68,0.0,0.0,0.0,0.0,68,Female,Standard,Chantal,True,False,0,0,0,0,0,0,1
30,3,0.3333333333333333,35,0.0,0.0,0.0,0.0,35,Male,Standard,No one,True,True,0,0,1,0,0,1,1
22,3,0.6666666666666666,57,0.0,0.0,0.0,0.0,57,Female,Premium,Hanna,True,True,1,0,0,1,0,0,1
41,2,0.5,147,0.0,0.0,0.0,0.0,147,Female,Standard,No one,True,False,0,0,0,0,0,0,1
45,4,0.0,48,0.0,0.0,0.0,0.0,48,Female,Premium,No one,True,False,0,0,0,0,0,0,1
22,1,1.0,170,1.0,1.0,0.0,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,0
20,5,0.4,33,1.0,1.0,0.0,0.0,33,Male,Standard,Mike,True,True,1,0,1,0,0,0,0
33,1,0.0,43,1.0,1.0,0.0,0.0,0,Male,Premium,No one,False,True,0,0,0,0,0,1,0
36,3,0.3333333333333333,165,0.0,0.0,0.0,0.0,165,Female,Premium,No one,True,False,0,0,0,0,0,0,1
30,5,0.4,54,1.0,0.0,1.0,0.0,54,Male,Premium,Hanna,True,False,0,0,0,0,0,0,2
17,1,0.0,177,0.0,0.0,0.0,0.0,177,Male,Premium,Mike,True,True,0,1,0,0,0,0,1
35,2,0.0,93,0.0,0.0,0.0,0.0,0,Male,Premium,Chantal,False,True,1,0,0,0,0,0,1
28,2,0.5,166,0.0,0.0,0.0,0.0,166,Male,Standard,No one,True,True,0,0,0,0,0,1,1
27,5,0.2,145,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
20,1,1.0,88,0.0,0.0,0.0,0.0,88,Male,Premium,Mike,True,False,0,0,0,0,0,0,1
17,2,0.0,52,0.0,0.0,0.0,0.0,0,Female,Premium,Hanna,False,False,0,0,0,0,0,0,1
33,2,0.5,107,3.0,0.6666666666666666,0.0,0.3333333333333333,0,Male,Premium,Mike,False,True,1,0,0,0,0,0,0
43,5,0.2,180,1.0,0.0,1.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,2
36,2,0.0,103,3.0,0.3333333333333333,0.0,0.3333333333333333,103,Female,Standard,Jeffrey,True,False,0,0,0,0,0,0,0
45,2,0.5,163,0.0,0.0,0.0,0.0,163,Male,Standard,Mike,True,True,1,0,0,0,0,0,1
42,3,0.3333333333333333,125,2.0,0.5,0.5,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,0
29,1,0.0,84,0.0,0.0,0.0,0.0,0,Male,Premium,No one,False,True,0,0,1,0,0,0,1
18,3,0.3333333333333333,49,2.0,0.5,0.0,0.5,0,Male,Standard,No one,False,True,0,1,0,1,0,0,0
32,2,1.0,173,1.0,1.0,0.0,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,0
27,3,0.3333333333333333,66,3.0,0.0,0.6666666666666666,0.3333333333333333,0,Female,Standard,Chantal,False,False,0,0,0,0,0,0,0
47,3,0.3333333333333333,106,3.0,0.3333333333333333,0.6666666666666666,0.0,106,Male,Premium,Chantal,True,False,0,0,0,0,0,0,0
16,2,1.0,94,0.0,0.0,0.0,0.0,94,Female,Premium,No one,True,True,0,1,0,0,0,1,1
39,4,0.25,53,1.0,0.0,0.0,1.0,53,Female,Standard,No one,True,False,0,0,0,0,0,0,0
46,1,1.0,126,0.0,0.0,0.0,0.0,126,Female,Standard,No one,True,True,1,0,0,1,0,0,1
21,3,0.6666666666666666,77,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,True,1,0,0,0,0,0,1
31,1,1.0,48,1.0,1.0,0.0,0.0,0,Male,Standard,Chantal,False,False,0,0,0,0,0,0,0
40,4,0.5,48,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,48,Female,Standard,No one,True,False,0,0,0,0,0,0,0
41,2,0.0,123,3.0,0.6666666666666666,0.3333333333333333,0.0,123,Female,Standard,Chantal,True,True,0,0,1,0,0,0,0
12,3,0.0,160,1.0,0.0,0.0,1.0,160,Female,Standard,No one,True,True,1,0,0,0,0,0,0
40,1,1.0,177,0.0,0.0,0.0,0.0,177,Male,Standard,No one,True,False,0,0,0,0,0,0,1
29,3,0.3333333333333333,172,0.0,0.0,0.0,0.0,0,Male,Premium,No one,False,False,0,0,0,0,0,0,1
19,2,0.5,117,0.0,0.0,0.0,0.0,0,Male,Premium,Jeffrey,False,True,0,0,1,0,0,0,1
34,2,0.0,145,0.0,0.0,0.0,0.0,145,Female,Premium,Hanna,True,False,0,0,0,0,0,0,1
21,3,0.3333333333333333,86,0.0,0.0,0.0,0.0,86,Female,Premium,No one,True,False,0,0,0,0,0,0,1
44,3,0.6666666666666666,79,1.0,1.0,0.0,0.0,79,Male,Standard,Jeffrey,True,True,0,1,0,0,0,0,0
24,3,0.3333333333333333,140,1.0,0.0,1.0,0.0,0,Female,Standard,Mike,False,False,0,0,0,0,0,0,2
33,5,0.4,49,2.0,0.0,0.0,1.0,0,Male,Standard,Chantal,False,True,0,0,0,1,0,0,0
47,2,0.5,91,0.0,0.0,0.0,0.0,91,Female,Premium,Mike,True,True,0,0,1,0,0,0,1
38,1,0.0,42,2.0,0.5,0.5,0.0,42,Female,Premium,Mike,True,True,1,0,0,0,0,1,0
12,3,0.3333333333333333,91,2.0,0.0,0.0,0.5,0,Male,Premium,No one,False,True,0,1,0,0,1,0,0
21,2,0.0,95,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,True,0,0,1,0,0,0,1
22,3,0.6666666666666666,54,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,Female,Standard,Chantal,False,False,0,0,0,0,0,0,0
33,1,0.0,87,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,1
20,2,0.0,169,1.0,0.0,0.0,1.0,169,Female,Premium,No one,True,False,0,0,0,0,0,0,0
30,3,0.6666666666666666,40,2.0,0.5,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,0
15,3,0.3333333333333333,156,3.0,0.3333333333333333,0.0,0.6666666666666666,0,Male,Standard,No one,False,False,0,0,0,0,0,0,0
47,1,1.0,104,0.0,0.0,0.0,0.0,0,Female,Premium,Chantal,False,False,0,0,0,0,0,0,1
30,3,0.3333333333333333,142,0.0,0.0,0.0,0.0,142,Female,Premium,Jeffrey,True,False,0,0,0,0,0,0,1
14,3,0.6666666666666666,35,0.0,0.0,0.0,0.0,0,Female,Premium,Jeffrey,False,False,0,0,0,0,0,0,1
33,4,0.0,178,0.0,0.0,0.0,0.0,178,Male,Premium,No one,True,True,0,0,0,0,1,0,1
49,1,0.0,42,1.0,0.0,0.0,1.0,0,Male,Standard,No one,False,True,1,0,0,1,0,0,0
40,5,0.4,56,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
46,3,0.3333333333333333,67,2.0,0.5,0.5,0.0,0,Male,Premium,Jeffrey,False,False,0,0,0,0,0,0,0
40,3,0.0,143,0.0,0.0,0.0,0.0,143,Female,Standard,Chantal,True,True,0,0,0,0,0,1,1
22,2,0.5,93,3.0,0.0,0.3333333333333333,0.6666666666666666,0,Female,Premium,No one,False,True,0,1,0,1,0,0,0
43,1,0.0,108,1.0,0.0,1.0,0.0,108,Female,Premium,No one,True,False,0,0,0,0,0,0,2
33,3,0.3333333333333333,151,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
14,3,0.3333333333333333,73,0.0,0.0,0.0,0.0,0,Female,Premium,Hanna,False,False,0,0,0,0,0,0,1
14,3,0.6666666666666666,145,0.0,0.0,0.0,0.0,0,Male,Standard,Jeffrey,False,False,0,0,0,0,0,0,1
14,3,0.3333333333333333,95,0.0,0.0,0.0,0.0,95,Male,Standard,Chantal,True,False,0,0,0,0,0,0,1
19,3,0.0,84,0.0,0.0,0.0,0.0,84,Female,Standard,Hanna,True,False,0,0,0,0,0,0,1
32,3,0.3333333333333333,85,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,True,0,0,0,0,1,1,1
47,1,1.0,50,2.0,0.5,0.0,0.5,50,Male,Premium,Hanna,True,False,0,0,0,0,0,0,0
43,2,0.5,172,0.0,0.0,0.0,0.0,0,Male,Premium,Chantal,False,False,0,0,0,0,0,0,1
34,3,0.0,83,0.0,0.0,0.0,0.0,0,Male,Standard,Hanna,False,True,0,0,0,1,0,1,1
21,1,0.0,160,0.0,0.0,0.0,0.0,160,Male,Premium,Hanna,True,True,0,0,0,0,1,0,1
27,2,0.0,119,1.0,1.0,0.0,0.0,119,Male,Premium,No one,True,True,0,0,0,0,1,0,0
31,5,0.2,95,2.0,0.5,0.5,0.0,95,Female,Premium,Mike,True,False,0,0,0,0,0,0,0
21,2,0.5,100,0.0,0.0,0.0,0.0,0,Female,Standard,Mike,False,True,0,0,0,0,0,1,1
15,2,0.0,174,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,True,0,0,1,0,0,0,1
20,3,0.6666666666666666,37,0.0,0.0,0.0,0.0,37,Female,Premium,No one,True,False,0,0,0,0,0,0,1
36,1,0.0,109,0.0,0.0,0.0,0.0,109,Male,Standard,No one,True,True,0,0,0,1,0,0,1
31,5,0.2,42,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
14,2,0.0,144,3.0,0.6666666666666666,0.3333333333333333,0.0,144,Female,Standard,No one,True,True,0,0,0,1,1,0,0
40,3,0.0,65,2.0,0.5,0.0,0.0,0,Male,Premium,Mike,False,False,0,0,0,0,0,0,0
22,5,0.4,93,3.0,0.3333333333333333,0.6666666666666666,0.0,93,Female,Standard,No one,True,False,0,0,0,0,0,0,0
16,3,0.3333333333333333,85,0.0,0.0,0.0,0.0,0,Female,Premium,Chantal,False,False,0,0,0,0,0,0,1
49,3,0.0,54,3.0,0.3333333333333333,0.3333333333333333,0.0,54,Male,Premium,Jeffrey,True,True,0,0,0,0,0,1,0
14,3,0.6666666666666666,105,0.0,0.0,0.0,0.0,105,Female,Premium,No one,True,True,0,0,0,1,0,1,1
14,5,0.4,67,3.0,0.0,0.3333333333333333,0.3333333333333333,67,Female,Standard,Mike,True,True,0,1,0,0,0,1,0
36,3,0.3333333333333333,88,3.0,0.3333333333333333,0.0,0.6666666666666666,0,Male,Standard,No one,False,False,0,0,0,0,0,0,0
36,2,0.5,131,3.0,0.3333333333333333,0.6666666666666666,0.0,0,Male,Premium,Mike,False,True,1,0,0,0,1,0,0
26,2,0.5,131,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
19,1,1.0,70,0.0,0.0,0.0,0.0,70,Male,Premium,Mike,True,False,0,0,0,0,0,0,1
29,2,0.0,110,2.0,0.5,0.0,0.5,110,Male,Premium,No one,True,False,0,0,0,0,0,0,0
27,2,0.0,73,0.0,0.0,0.0,0.0,73,Male,Premium,Hanna,True,False,0,0,0,0,0,0,1
47,2,0.0,81,2.0,0.5,0.5,0.0,81,Male,Premium,Chantal,True,True,0,0,0,0,1,1,0
39,2,0.0,130,2.0,0.0,1.0,0.0,0,Male,Standard,Mike,False,True,0,1,0,1,0,0,2
47,1,0.0,40,0.0,0.0,0.0,0.0,0,Male,Standard,Hanna,False,True,0,0,0,0,1,0,1
20,2,0.5,43,0.0,0.0,0.0,0.0,43,Female,Premium,Chantal,True,True,0,0,0,0,0,1,1
20,4,0.0,150,0.0,0.0,0.0,0.0,0,Female,Standard,Jeffrey,False,True,0,0,0,0,0,1,1
22,2,0.5,151,0.0,0.0,0.0,0.0,151,Male,Standard,Mike,True,True,0,0,0,0,1,0,1
22,3,0.6666666666666666,109,2.0,0.5,0.5,0.0,0,Female,Standard,Hanna,False,False,0,0,0,0,0,0,0
24,3,0.0,47,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,47,Female,Premium,Hanna,True,False,0,0,0,0,0,0,0
17,3,0.3333333333333333,77,1.0,0.0,1.0,0.0,0,Female,Standard,Chantal,False,True,1,0,0,1,0,0,2
29,1,1.0,93,0.0,0.0,0.0,0.0,93,Male,Standard,No one,True,True,0,0,0,1,0,0,1
36,3,0.3333333333333333,169,0.0,0.0,0.0,0.0,169,Male,Premium,Jeffrey,True,True,1,0,0,0,0,0,1
20,5,0.2,161,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
29,2,0.5,176,1.0,1.0,0.0,0.0,176,Male,Standard,Chantal,True,False,0,0,0,0,0,0,0
32,3,0.3333333333333333,66,0.0,0.0,0.0,0.0,66,Male,Premium,Chantal,True,False,0,0,0,0,0,0,1
42,4,0.0,64,1.0,1.0,0.0,0.0,64,Female,Premium,No one,True,False,0,0,0,0,0,0,0
14,3,0.3333333333333333,109,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,109,Male,Standard,No one,True,False,0,0,0,0,0,0,0
35,3,0.0,167,3.0,0.3333333333333333,0.6666666666666666,0.0,0,Female,Premium,No one,False,False,0,0,0,0,0,0,0
43,3,0.3333333333333333,56,0.0,0.0,0.0,0.0,0,Male,Standard,Mike,False,True,0,0,0,1,0,1,1
37,1,1.0,146,0.0,0.0,0.0,0.0,0,Female,Standard,Hanna,False,True,0,0,0,1,0,0,1
49,5,0.4,35,1.0,0.0,0.0,1.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,0
47,2,0.5,138,0.0,0.0,0.0,0.0,138,Male,Standard,No one,True,True,0,1,0,0,0,0,1
49,1,1.0,85,0.0,0.0,0.0,0.0,85,Male,Premium,No one,True,False,0,0,0,0,0,0,1
19,2,0.0,115,1.0,0.0,0.0,1.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,0
48,4,0.0,37,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
23,3,0.3333333333333333,84,0.0,0.0,0.0,0.0,0,Female,Premium,Chantal,False,True,1,0,1,0,0,0,1
23,4,0.0,42,0.0,0.0,0.0,0.0,0,Male,Premium,Chantal,False,False,0,0,0,0,0,0,1
13,2,0.0,105,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
48,3,0.3333333333333333,100,3.0,0.3333333333333333,0.3333333333333333,0.0,100,Male,Premium,Jeffrey,True,True,0,0,0,0,0,1,0
27,5,0.4,168,2.0,0.0,1.0,0.0,168,Male,Premium,No one,True,True,0,1,0,1,0,0,2
14,3,0.3333333333333333,176,1.0,0.0,1.0,0.0,176,Female,Standard,Chantal,True,False,0,0,0,0,0,0,2
14,1,0.0,83,0.0,0.0,0.0,0.0,83,Male,Premium,No one,True,False,0,0,0,0,0,0,1
17,1,0.0,126,0.0,0.0,0.0,0.0,0,Male,Standard,Hanna,False,False,0,0,0,0,0,0,1
39,2,0.0,32,2.0,0.5,0.5,0.0,0,Male,Standard,No one,False,True,1,0,0,0,0,0,0
49,3,0.3333333333333333,78,0.0,0.0,0.0,0.0,78,Female,Standard,Mike,True,True,0,0,0,0,0,1,1
12,5,0.4,146,3.0,0.0,0.6666666666666666,0.3333333333333333,0,Male,Standard,Mike,False,True,0,0,0,1,1,0,0
37,1,1.0,34,1.0,0.0,0.0,1.0,0,Female,Premium,No one,False,True,0,0,1,1,0,0,0
36,2,0.0,166,2.0,0.5,0.5,0.0,166,Male,Premium,No one,True,False,0,0,0,0,0,0,0
13,4,0.5,34,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
31,2,0.0,174,0.0,0.0,0.0,0.0,0,Male,Premium,No one,False,False,0,0,0,0,0,0,1
39,4,0.5,48,0.0,0.0,0.0,0.0,48,Female,Standard,No one,True,False,0,0,0,0,0,0,1
12,3,0.3333333333333333,73,3.0,0.3333333333333333,0.6666666666666666,0.0,73,Female,Premium,No one,True,False,0,0,0,0,0,0,0
23,1,0.0,175,0.0,0.0,0.0,0.0,0,Female,Premium,No one,False,True,1,0,0,0,0,1,1
45,2,0.0,138,0.0,0.0,0.0,0.0,138,Male,Premium,No one,True,True,0,1,1,0,0,0,1
39,5,0.2,67,0.0,0.0,0.0,0.0,0,Male,Premium,Jeffrey,False,True,0,0,0,1,0,0,1
14,2,0.0,133,0.0,0.0,0.0,0.0,0,Male,Standard,Mike,False,True,0,1,1,0,0,0,1
30,3,0.3333333333333333,163,2.0,0.0,0.5,0.5,163,Male,Premium,Jeffrey,True,True,0,0,1,0,0,0,0
15,3,0.0,72,0.0,0.0,0.0,0.0,72,Female,Premium,Jeffrey,True,True,0,0,1,0,0,0,1
12,1,0.0,41,0.0,0.0,0.0,0.0,41,Male,Standard,Jeffrey,True,True,0,0,0,0,1,1,1
46,4,0.25,136,3.0,0.3333333333333333,0.6666666666666666,0.0,0,Male,Standard,Mike,False,True,0,1,1,0,0,0,0
49,4,0.25,31,0.0,0.0,0.0,0.0,0,Male,Premium,No one,False,True,0,1,0,0,0,0,1
43,2,0.5,142,0.0,0.0,0.0,0.0,142,Female,Premium,Chantal,True,True,0,0,1,0,0,1,1
19,2,0.0,133,1.0,0.0,0.0,0.0,0,Male,Premium,Jeffrey,False,True,0,0,0,0,1,0,1
42,3,0.3333333333333333,173,0.0,0.0,0.0,0.0,0,Male,Premium,Chantal,False,True,0,0,0,1,0,0,1
46,1,1.0,163,1.0,1.0,0.0,0.0,0,Male,Standard,No one,False,True,1,1,0,0,0,0,0
18,3,0.0,133,2.0,0.5,0.5,0.0,0,Male,Standard,Chantal,False,False,0,0,0,0,0,0,0
41,1,0.0,102,2.0,1.0,0.0,0.0,102,Male,Premium,Jeffrey,True,True,0,0,1,1,0,0,0
19,4,0.0,59,0.0,0.0,0.0,0.0,0,Male,Premium,Hanna,False,True,0,0,1,0,0,0,1
17,2,0.5,36,0.0,0.0,0.0,0.0,0,Male,Premium,Chantal,False,True,0,0,0,1,0,0,1
27,2,0.0,146,1.0,0.0,0.0,1.0,146,Female,Standard,Chantal,True,False,0,0,0,0,0,0,0
25,3,0.6666666666666666,56,0.0,0.0,0.0,0.0,56,Male,Premium,No one,True,False,0,0,0,0,0,0,1
23,2,0.5,168,2.0,0.5,0.5,0.0,0,Male,Premium,No one,False,False,0,0,0,0,0,0,0
35,1,0.0,53,0.0,0.0,0.0,0.0,0,Female,Standard,Chantal,False,False,0,0,0,0,0,0,1
38,3,0.0,141,1.0,0.0,0.0,1.0,141,Female,Standard,No one,True,False,0,0,0,0,0,0,0
49,3,0.0,38,0.0,0.0,0.0,0.0,0,Male,Premium,Mike,False,True,0,0,0,1,0,0,1
34,1,1.0,39,0.0,0.0,0.0,0.0,39,Male,Standard,Jeffrey,True,True,0,0,1,0,0,0,1
46,3,0.3333333333333333,35,1.0,0.0,1.0,0.0,0,Female,Premium,No one,False,True,0,0,1,0,0,1,2
45,5,0.2,120,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,120,Male,Standard,No one,True,False,0,0,0,0,0,0,0
36,5,0.2,78,0.0,0.0,0.0,0.0,0,Male,Premium,Mike,False,True,0,0,0,1,0,0,1
45,2,0.5,154,0.0,0.0,0.0,0.0,154,Male,Premium,Chantal,True,True,0,0,0,0,0,1,1
49,3,0.3333333333333333,153,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,Male,Premium,Mike,False,False,0,0,0,0,0,0,0
19,5,0.2,89,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,True,0,0,1,0,0,0,1
24,2,0.0,108,0.0,0.0,0.0,0.0,0,Female,Standard,No one,False,False,0,0,0,0,0,0,1
24,3,0.3333333333333333,156,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,True,0,0,0,0,1,0,1
31,1,0.0,162,0.0,0.0,0.0,0.0,0,Male,Standard,No one,False,False,0,0,0,0,0,0,1
48,3,0.3333333333333333,71,2.0,0.0,1.0,0.0,71,Female,Premium,Jeffrey,True,False,0,0,0,0,0,0,2
