Age,visit_per_week,weekend_ratio,avg_time_in_gym,num_classes_attended,ratio_cardio,ratio_strength,ratio_mind_body,sauna_session_impact
29,3,0.3333333333333333,68,0.0,0.0,0.0,0.0,68
30,3,0.3333333333333333,35,0.0,0.0,0.0,0.0,35
22,3,0.6666666666666666,57,0.0,0.0,0.0,0.0,57
41,2,0.5,147,0.0,0.0,0.0,0.0,147
45,4,0.0,48,0.0,0.0,0.0,0.0,48
22,1,1.0,170,1.0,1.0,0.0,0.0,0
20,5,0.4,33,1.0,1.0,0.0,0.0,33
33,1,0.0,43,1.0,1.0,0.0,0.0,0
36,3,0.3333333333333333,165,0.0,0.0,0.0,0.0,165
30,5,0.4,54,1.0,0.0,1.0,0.0,54
17,1,0.0,177,0.0,0.0,0.0,0.0,177
35,2,0.0,93,0.0,0.0,0.0,0.0,0
28,2,0.5,166,0.0,0.0,0.0,0.0,166
27,5,0.2,145,0.0,0.0,0.0,0.0,0
20,1,1.0,88,0.0,0.0,0.0,0.0,88
17,2,0.0,52,0.0,0.0,0.0,0.0,0
33,2,0.5,107,3.0,0.6666666666666666,0.0,0.3333333333333333,0
43,5,0.2,180,1.0,0.0,1.0,0.0,0
36,2,0.0,103,3.0,0.3333333333333333,0.0,0.3333333333333333,103
45,2,0.5,163,0.0,0.0,0.0,0.0,163
42,3,0.3333333333333333,125,2.0,0.5,0.5,0.0,0
29,1,0.0,84,0.0,0.0,0.0,0.0,0
18,3,0.3333333333333333,49,2.0,0.5,0.0,0.5,0
32,2,1.0,173,1.0,1.0,0.0,0.0,0
27,3,0.3333333333333333,66,3.0,0.0,0.6666666666666666,0.3333333333333333,0
47,3,0.3333333333333333,106,3.0,0.3333333333333333,0.6666666666666666,0.0,106
16,2,1.0,94,0.0,0.0,0.0,0.0,94
39,4,0.25,53,1.0,0.0,0.0,1.0,53
46,1,1.0,126,0.0,0.0,0.0,0.0,126
21,3,0.6666666666666666,77,0.0,0.0,0.0,0.0,0
31,1,1.0,48,1.0,1.0,0.0,0.0,0
40,4,0.5,48,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,48
41,2,0.0,123,3.0,0.6666666666666666,0.3333333333333333,0.0,123
12,3,0.0,160,1.0,0.0,0.0,1.0,160
40,1,1.0,177,0.0,0.0,0.0,0.0,177
29,3,0.3333333333333333,172,0.0,0.0,0.0,0.0,0
19,2,0.5,117,0.0,0.0,0.0,0.0,0
34,2,0.0,145,0.0,0.0,0.0,0.0,145
21,3,0.3333333333333333,86,0.0,0.0,0.0,0.0,86
44,3,0.6666666666666666,79,1.0,1.0,0.0,0.0,79
24,3,0.3333333333333333,140,1.0,0.0,1.0,0.0,0
33,5,0.4,49,2.0,0.0,0.0,1.0,0
47,2,0.5,91,0.0,0.0,0.0,0.0,91
38,1,0.0,42,2.0,0.5,0.5,0.0,42
12,3,0.3333333333333333,91,2.0,0.0,0.0,0.5,0
21,2,0.0,95,0.0,0.0,0.0,0.0,0
22,3,0.6666666666666666,54,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
33,1,0.0,87,0.0,0.0,0.0,0.0,0
20,2,0.0,169,1.0,0.0,0.0,1.0,169
30,3,0.6666666666666666,40,2.0,0.5,0.0,0.0,0
15,3,0.3333333333333333,156,3.0,0.3333333333333333,0.0,0.6666666666666666,0
47,1,1.0,104,0.0,0.0,0.0,0.0,0
30,3,0.3333333333333333,142,0.0,0.0,0.0,0.0,142
14,3,0.6666666666666666,35,0.0,0.0,0.0,0.0,0
33,4,0.0,178,0.0,0.0,0.0,0.0,178
49,1,0.0,42,1.0,0.0,0.0,1.0,0
40,5,0.4,56,0.0,0.0,0.0,0.0,0
46,3,0.3333333333333333,67,2.0,0.5,0.5,0.0,0
40,3,0.0,143,0.0,0.0,0.0,0.0,143
22,2,0.5,93,3.0,0.0,0.3333333333333333,0.6666666666666666,0
43,1,0.0,108,1.0,0.0,1.0,0.0,108
33,3,0.3333333333333333,151,0.0,0.0,0.0,0.0,0
14,3,0.3333333333333333,73,0.0,0.0,0.0,0.0,0
14,3,0.6666666666666666,145,0.0,0.0,0.0,0.0,0
14,3,0.3333333333333333,95,0.0,0.0,0.0,0.0,95
19,3,0.0,84,0.0,0.0,0.0,0.0,84
32,3,0.3333333333333333,85,0.0,0.0,0.0,0.0,0
47,1,1.0,50,2.0,0.5,0.0,0.5,50
43,2,0.5,172,0.0,0.0,0.0,0.0,0
34,3,0.0,83,0.0,0.0,0.0,0.0,0
21,1,0.0,160,0.0,0.0,0.0,0.0,160
27,2,0.0,119,1.0,1.0,0.0,0.0,119
31,5,0.2,95,2.0,0.5,0.5,0.0,95
21,2,0.5,100,0.0,0.0,0.0,0.0,0
15,2,0.0,174,0.0,0.0,0.0,0.0,0
20,3,0.6666666666666666,37,0.0,0.0,0.0,0.0,37
36,1,0.0,109,0.0,0.0,0.0,0.0,109
31,5,0.2,42,0.0,0.0,0.0,0.0,0
14,2,0.0,144,3.0,0.6666666666666666,0.3333333333333333,0.0,144
40,3,0.0,65,2.0,0.5,0.0,0.0,0
22,5,0.4,93,3.0,0.3333333333333333,0.6666666666666666,0.0,93
16,3,0.3333333333333333,85,0.0,0.0,0.0,0.0,0
49,3,0.0,54,3.0,0.3333333333333333,0.3333333333333333,0.0,54
14,3,0.6666666666666666,105,0.0,0.0,0.0,0.0,105
14,5,0.4,67,3.0,0.0,0.3333333333333333,0.3333333333333333,67
36,3,0.3333333333333333,88,3.0,0.3333333333333333,0.0,0.6666666666666666,0
36,2,0.5,131,3.0,0.3333333333333333,0.6666666666666666,0.0,0
26,2,0.5,131,0.0,0.0,0.0,0.0,0
19,1,1.0,70,0.0,0.0,0.0,0.0,70
29,2,0.0,110,2.0,0.5,0.0,0.5,110
27,2,0.0,73,0.0,0.0,0.0,0.0,73
47,2,0.0,81,2.0,0.5,0.5,0.0,81
39,2,0.0,130,2.0,0.0,1.0,0.0,0
47,1,0.0,40,0.0,0.0,0.0,0.0,0
20,2,0.5,43,0.0,0.0,0.0,0.0,43
20,4,0.0,150,0.0,0.0,0.0,0.0,0
22,2,0.5,151,0.0,0.0,0.0,0.0,151
22,3,0.6666666666666666,109,2.0,0.5,0.5,0.0,0
24,3,0.0,47,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,47
17,3,0.3333333333333333,77,1.0,0.0,1.0,0.0,0
29,1,1.0,93,0.0,0.0,0.0,0.0,93
36,3,0.3333333333333333,169,0.0,0.0,0.0,0.0,169
20,5,0.2,161,0.0,0.0,0.0,0.0,0
29,2,0.5,176,1.0,1.0,0.0,0.0,176
32,3,0.3333333333333333,66,0.0,0.0,0.0,0.0,66
42,4,0.0,64,1.0,1.0,0.0,0.0,64
14,3,0.3333333333333333,109,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,109
35,3,0.0,167,3.0,0.3333333333333333,0.6666666666666666,0.0,0
43,3,0.3333333333333333,56,0.0,0.0,0.0,0.0,0
37,1,1.0,146,0.0,0.0,0.0,0.0,0
49,5,0.4,35,1.0,0.0,0.0,1.0,0
47,2,0.5,138,0.0,0.0,0.0,0.0,138
49,1,1.0,85,0.0,0.0,0.0,0.0,85
19,2,0.0,115,1.0,0.0,0.0,1.0,0
48,4,0.0,37,0.0,0.0,0.0,0.0,0
23,3,0.3333333333333333,84,0.0,0.0,0.0,0.0,0
23,4,0.0,42,0.0,0.0,0.0,0.0,0
13,2,0.0,105,0.0,0.0,0.0,0.0,0
48,3,0.3333333333333333,100,3.0,0.3333333333333333,0.3333333333333333,0.0,100
27,5,0.4,168,2.0,0.0,1.0,0.0,168
14,3,0.3333333333333333,176,1.0,0.0,1.0,0.0,176
14,1,0.0,83,0.0,0.0,0.0,0.0,83
17,1,0.0,126,0.0,0.0,0.0,0.0,0
39,2,0.0,32,2.0,0.5,0.5,0.0,0
49,3,0.3333333333333333,78,0.0,0.0,0.0,0.0,78
12,5,0.4,146,3.0,0.0,0.6666666666666666,0.3333333333333333,0
37,1,1.0,34,1.0,0.0,0.0,1.0,0
36,2,0.0,166,2.0,0.5,0.5,0.0,166
13,4,0.5,34,0.0,0.0,0.0,0.0,0
31,2,0.0,174,0.0,0.0,0.0,0.0,0
39,4,0.5,48,0.0,0.0,0.0,0.0,48
12,3,0.3333333333333333,73,3.0,0.3333333333333333,0.6666666666666666,0.0,73
23,1,0.0,175,0.0,0.0,0.0,0.0,0
45,2,0.0,138,0.0,0.0,0.0,0.0,138
39,5,0.2,67,0.0,0.0,0.0,0.0,0
14,2,0.0,133,0.0,0.0,0.0,0.0,0
30,3,0.3333333333333333,163,2.0,0.0,0.5,0.5,163
15,3,0.0,72,0.0,0.0,0.0,0.0,72
12,1,0.0,41,0.0,0.0,0.0,0.0,41
46,4,0.25,136,3.0,0.3333333333333333,0.6666666666666666,0.0,0
49,4,0.25,31,0.0,0.0,0.0,0.0,0
43,2,0.5,142,0.0,0.0,0.0,0.0,142
19,2,0.0,133,1.0,0.0,0.0,0.0,0
42,3,0.3333333333333333,173,0.0,0.0,0.0,0.0,0
46,1,1.0,163,1.0,1.0,0.0,0.0,0
18,3,0.0,133,2.0,0.5,0.5,0.0,0
41,1,0.0,102,2.0,1.0,0.0,0.0,102
19,4,0.0,59,0.0,0.0,0.0,0.0,0
17,2,0.5,36,0.0,0.0,0.0,0.0,0
27,2,0.0,146,1.0,0.0,0.0,1.0,146
25,3,0.6666666666666666,56,0.0,0.0,0.0,0.0,56
23,2,0.5,168,2.0,0.5,0.5,0.0,0
35,1,0.0,53,0.0,0.0,0.0,0.0,0
38,3,0.0,141,1.0,0.0,0.0,1.0,141
49,3,0.0,38,0.0,0.0,0.0,0.0,0
34,1,1.0,39,0.0,0.0,0.0,0.0,39
46,3,0.3333333333333333,35,1.0,0.0,1.0,0.0,0
45,5,0.2,120,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,120
36,5,0.2,78,0.0,0.0,0.0,0.0,0
45,2,0.5,154,0.0,0.0,0.0,0.0,154
49,3,0.3333333333333333,153,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
19,5,0.2,89,0.0,0.0,0.0,0.0,0
24,2,0.0,108,0.0,0.0,0.0,0.0,0
24,3,0.3333333333333333,156,0.0,0.0,0.0,0.0,0
31,1,0.0,162,0.0,0.0,0.0,0.0,0
48,3,0.3333333333333333,71,2.0,0.0,1.0,0.0,71
17,1,0.0,170,2.0,1.0,0.0,0.0,0
31,5,0.4,56,0.0,0.0,0.0,0.0,0
22,3,0.3333333333333333,128,1.0,0.0,0.0,1.0,0
37,3,0.6666666666666666,141,0.0,0.0,0.0,0.0,141
39,5,0.2,119,2.0,0.0,0.5,0.5,0
14,3,0.6666666666666666,135,0.0,0.0,0.0,0.0,135
19,1,1.0,79,0.0,0.0,0.0,0.0,79
27,4,0.25,156,0.0,0.0,0.0,0.0,0
35,5,0.2,178,1.0,0.0,1.0,0.0,0
19,2,0.0,91,1.0,1.0,0.0,0.0,91
21,5,0.4,179,3.0,0.0,0.3333333333333333,0.6666666666666666,179
20,3,0.0,107,3.0,0.3333333333333333,0.0,0.6666666666666666,107
19,4,0.5,81,2.0,0.5,0.5,0.0,0
42,2,0.0,151,0.0,0.0,0.0,0.0,0
18,1,0.0,32,0.0,0.0,0.0,0.0,32
49,1,1.0,37,0.0,0.0,0.0,0.0,0
17,5,0.4,39,1.0,0.0,0.0,1.0,39
27,1,0.0,161,3.0,0.3333333333333333,0.6666666666666666,0.0,0
24,4,0.25,125,0.0,0.0,0.0,0.0,0
37,4,0.25,132,3.0,0.3333333333333333,0.0,0.6666666666666666,132
24,1,1.0,138,0.0,0.0,0.0,0.0,138
28,5,0.4,116,2.0,1.0,0.0,0.0,0
18,3,0.3333333333333333,169,0.0,0.0,0.0,0.0,0
18,2,0.0,78,3.0,0.0,0.3333333333333333,0.6666666666666666,0
32,5,0.0,168,2.0,0.5,0.0,0.5,0
40,2,0.0,67,2.0,0.5,0.0,0.5,0
20,4,0.25,67,0.0,0.0,0.0,0.0,67
21,1,1.0,30,3.0,0.0,0.3333333333333333,0.3333333333333333,30
38,1,1.0,62,1.0,0.0,0.0,1.0,0
45,2,0.0,117,3.0,0.3333333333333333,0.6666666666666666,0.0,0
22,2,0.5,44,0.0,0.0,0.0,0.0,44
17,5,0.2,135,0.0,0.0,0.0,0.0,0
32,5,0.4,144,0.0,0.0,0.0,0.0,0
44,2,0.0,126,0.0,0.0,0.0,0.0,126
47,2,0.5,59,2.0,0.0,0.0,1.0,59
43,1,0.0,51,0.0,0.0,0.0,0.0,51
48,5,0.4,173,0.0,0.0,0.0,0.0,173
32,5,0.2,85,0.0,0.0,0.0,0.0,85
37,3,0.0,114,2.0,0.5,0.0,0.5,114
36,5,0.4,67,0.0,0.0,0.0,0.0,67
22,4,0.25,149,0.0,0.0,0.0,0.0,0
37,2,0.0,42,0.0,0.0,0.0,0.0,0
39,3,0.3333333333333333,136,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,136
47,3,0.3333333333333333,54,0.0,0.0,0.0,0.0,0
49,2,0.0,66,1.0,0.0,0.0,1.0,66
27,2,0.5,97,0.0,0.0,0.0,0.0,97
44,2,0.5,154,3.0,0.6666666666666666,0.0,0.3333333333333333,0
13,2,0.0,33,0.0,0.0,0.0,0.0,33
14,2,0.0,177,1.0,0.0,0.0,0.0,177
25,2,0.0,114,0.0,0.0,0.0,0.0,0
32,2,0.5,93,1.0,0.0,0.0,1.0,93
29,4,0.25,69,0.0,0.0,0.0,0.0,0
41,2,0.0,128,2.0,0.0,0.0,1.0,128
21,2,0.0,67,3.0,0.0,0.6666666666666666,0.3333333333333333,67
25,5,0.4,75,2.0,0.5,0.5,0.0,75
21,2,0.5,33,1.0,0.0,0.0,0.0,0
13,2,0.5,71,0.0,0.0,0.0,0.0,0
48,4,0.25,35,0.0,0.0,0.0,0.0,0
20,5,0.4,96,0.0,0.0,0.0,0.0,0
37,2,0.0,60,2.0,0.0,0.5,0.5,60
42,5,0.2,165,0.0,0.0,0.0,0.0,165
20,3,0.3333333333333333,138,2.0,0.5,0.5,0.0,138
26,2,0.5,133,2.0,0.0,1.0,0.0,0
42,5,0.4,174,0.0,0.0,0.0,0.0,174
17,1,0.0,102,0.0,0.0,0.0,0.0,0
26,1,0.0,76,2.0,0.0,0.5,0.5,76
41,1,0.0,140,1.0,0.0,0.0,1.0,0
36,3,0.0,149,0.0,0.0,0.0,0.0,0
23,4,0.25,124,0.0,0.0,0.0,0.0,124
30,5,0.2,56,0.0,0.0,0.0,0.0,0
34,2,0.5,73,0.0,0.0,0.0,0.0,73
43,5,0.4,100,0.0,0.0,0.0,0.0,0
13,3,0.3333333333333333,62,3.0,0.3333333333333333,0.3333333333333333,0.0,0
23,3,0.3333333333333333,89,3.0,0.0,0.3333333333333333,0.3333333333333333,0
45,3,0.0,156,1.0,0.0,1.0,0.0,156
42,3,0.3333333333333333,84,0.0,0.0,0.0,0.0,84
35,1,1.0,40,0.0,0.0,0.0,0.0,0
26,4,0.5,107,3.0,0.6666666666666666,0.0,0.0,0
20,2,0.5,143,3.0,0.3333333333333333,0.0,0.3333333333333333,143
32,3,0.3333333333333333,164,0.0,0.0,0.0,0.0,164
31,4,0.25,87,0.0,0.0,0.0,0.0,87
29,3,0.3333333333333333,74,0.0,0.0,0.0,0.0,74
34,2,0.5,35,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,35
44,1,0.0,34,0.0,0.0,0.0,0.0,0
22,5,0.2,110,1.0,0.0,0.0,0.0,0
48,1,0.0,172,2.0,0.5,0.5,0.0,172
36,1,1.0,158,0.0,0.0,0.0,0.0,0
16,1,0.0,107,3.0,0.3333333333333333,0.6666666666666666,0.0,107
14,3,0.0,70,0.0,0.0,0.0,0.0,70
36,3,0.3333333333333333,38,0.0,0.0,0.0,0.0,0
40,2,0.5,166,0.0,0.0,0.0,0.0,166
32,3,0.6666666666666666,147,0.0,0.0,0.0,0.0,0
12,5,0.4,153,2.0,1.0,0.0,0.0,153
26,3,0.3333333333333333,60,0.0,0.0,0.0,0.0,0
23,2,0.5,37,0.0,0.0,0.0,0.0,0
26,5,0.4,51,1.0,1.0,0.0,0.0,51
30,3,0.0,59,1.0,0.0,0.0,1.0,59
29,3,0.3333333333333333,39,0.0,0.0,0.0,0.0,39
47,3,0.3333333333333333,49,0.0,0.0,0.0,0.0,0
13,3,0.3333333333333333,142,0.0,0.0,0.0,0.0,142
22,5,0.2,51,0.0,0.0,0.0,0.0,51
33,4,0.5,49,1.0,1.0,0.0,0.0,49
27,2,0.5,163,0.0,0.0,0.0,0.0,163
35,2,0.0,66,2.0,0.0,0.5,0.0,0
21,3,0.3333333333333333,97,1.0,0.0,1.0,0.0,97
40,3,0.3333333333333333,171,0.0,0.0,0.0,0.0,171
15,3,0.6666666666666666,34,0.0,0.0,0.0,0.0,34
23,3,0.6666666666666666,51,0.0,0.0,0.0,0.0,51
49,1,0.0,44,3.0,0.6666666666666666,0.0,0.0,0
42,2,0.0,116,0.0,0.0,0.0,0.0,0
27,3,0.0,92,2.0,1.0,0.0,0.0,0
41,3,0.3333333333333333,101,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
22,3,0.3333333333333333,146,3.0,0.6666666666666666,0.3333333333333333,0.0,0
36,4,0.0,146,0.0,0.0,0.0,0.0,146
26,5,0.4,68,1.0,1.0,0.0,0.0,68
19,5,0.2,176,3.0,0.6666666666666666,0.3333333333333333,0.0,176
38,4,0.25,89,1.0,1.0,0.0,0.0,89
39,2,0.5,104,0.0,0.0,0.0,0.0,0
43,3,0.3333333333333333,172,2.0,0.0,0.5,0.0,0
39,3,0.0,105,0.0,0.0,0.0,0.0,105
21,3,0.6666666666666666,49,0.0,0.0,0.0,0.0,0
39,2,0.5,121,0.0,0.0,0.0,0.0,0
35,2,0.0,61,2.0,0.0,0.5,0.5,0
35,1,0.0,156,2.0,0.0,0.0,0.5,0
31,1,0.0,163,2.0,1.0,0.0,0.0,0
15,2,0.0,73,0.0,0.0,0.0,0.0,73
44,2,0.0,62,1.0,0.0,0.0,1.0,62
37,1,0.0,133,2.0,0.5,0.0,0.5,0
32,1,1.0,44,2.0,0.0,0.5,0.5,44
17,2,0.5,83,1.0,0.0,0.0,0.0,0
37,1,0.0,113,1.0,0.0,1.0,0.0,0
25,3,0.3333333333333333,65,0.0,0.0,0.0,0.0,0
32,2,0.5,162,3.0,0.0,0.6666666666666666,0.0,0
44,5,0.2,145,1.0,1.0,0.0,0.0,145
37,4,0.0,126,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
17,1,0.0,177,2.0,1.0,0.0,0.0,0
34,3,0.3333333333333333,76,3.0,0.3333333333333333,0.0,0.6666666666666666,76
21,2,0.0,161,3.0,0.6666666666666666,0.3333333333333333,0.0,161
44,3,0.0,117,0.0,0.0,0.0,0.0,0
28,2,0.0,154,2.0,0.0,0.5,0.5,0
23,1,1.0,139,1.0,0.0,0.0,1.0,0
29,1,0.0,80,1.0,1.0,0.0,0.0,80
28,1,0.0,87,3.0,0.3333333333333333,0.0,0.3333333333333333,87
21,2,0.0,106,0.0,0.0,0.0,0.0,106
46,5,0.2,168,2.0,0.5,0.5,0.0,168
33,2,1.0,135,3.0,0.0,0.0,0.6666666666666666,135
39,2,0.5,53,2.0,0.5,0.0,0.5,53
25,2,0.0,86,0.0,0.0,0.0,0.0,0
29,3,0.6666666666666666,168,2.0,0.0,0.5,0.0,0
34,3,0.0,80,0.0,0.0,0.0,0.0,0
40,2,0.5,50,1.0,1.0,0.0,0.0,50
14,3,0.3333333333333333,126,0.0,0.0,0.0,0.0,0
43,1,0.0,78,0.0,0.0,0.0,0.0,0
26,5,0.2,42,0.0,0.0,0.0,0.0,0
45,2,0.0,180,2.0,1.0,0.0,0.0,180
26,2,0.5,59,0.0,0.0,0.0,0.0,59
26,3,0.3333333333333333,56,3.0,0.0,0.3333333333333333,0.6666666666666666,56
16,3,0.3333333333333333,117,3.0,0.3333333333333333,0.0,0.3333333333333333,0
49,1,0.0,83,2.0,0.0,0.5,0.5,83
26,2,0.0,131,1.0,0.0,1.0,0.0,131
19,2,0.5,86,2.0,0.0,0.5,0.0,0
34,1,0.0,109,2.0,0.5,0.0,0.5,109
12,3,0.3333333333333333,87,0.0,0.0,0.0,0.0,0
26,5,0.2,105,0.0,0.0,0.0,0.0,105
39,2,0.0,105,2.0,0.5,0.0,0.5,0
41,4,0.25,48,2.0,0.5,0.5,0.0,0
17,2,0.0,174,0.0,0.0,0.0,0.0,174
28,3,0.3333333333333333,41,0.0,0.0,0.0,0.0,0
37,3,0.6666666666666666,48,0.0,0.0,0.0,0.0,48
33,3,0.6666666666666666,65,0.0,0.0,0.0,0.0,65
45,2,0.0,153,3.0,0.3333333333333333,0.0,0.3333333333333333,153
17,2,0.5,166,0.0,0.0,0.0,0.0,166
29,3,0.3333333333333333,66,1.0,0.0,1.0,0.0,66
20,1,0.0,57,0.0,0.0,0.0,0.0,57
17,2,0.0,162,3.0,0.0,0.0,0.6666666666666666,162
16,3,0.6666666666666666,31,0.0,0.0,0.0,0.0,0
15,3,0.3333333333333333,36,2.0,0.5,0.5,0.0,36
27,2,0.5,141,3.0,0.3333333333333333,0.0,0.3333333333333333,0
26,4,0.25,156,2.0,0.5,0.0,0.5,156
22,3,0.3333333333333333,97,2.0,0.0,0.0,0.5,0
22,1,0.0,42,0.0,0.0,0.0,0.0,42
19,3,0.3333333333333333,164,0.0,0.0,0.0,0.0,164
45,3,0.3333333333333333,168,0.0,0.0,0.0,0.0,168
44,2,0.0,55,0.0,0.0,0.0,0.0,0
39,2,0.5,45,2.0,0.0,0.5,0.0,0
30,1,1.0,90,1.0,0.0,0.0,0.0,90
29,1,1.0,79,1.0,0.0,1.0,0.0,0
29,1,1.0,81,0.0,0.0,0.0,0.0,81
36,3,0.6666666666666666,61,1.0,0.0,0.0,0.0,61
16,3,0.3333333333333333,129,2.0,0.0,0.5,0.5,129
49,3,0.3333333333333333,114,0.0,0.0,0.0,0.0,0
19,3,0.3333333333333333,59,3.0,0.6666666666666666,0.3333333333333333,0.0,0
46,2,0.0,132,0.0,0.0,0.0,0.0,0
26,3,0.0,112,0.0,0.0,0.0,0.0,112
34,4,0.0,69,0.0,0.0,0.0,0.0,0
37,5,0.4,135,1.0,0.0,1.0,0.0,135
22,1,1.0,96,3.0,0.3333333333333333,0.0,0.3333333333333333,96
41,5,0.4,137,0.0,0.0,0.0,0.0,0
39,2,0.5,39,0.0,0.0,0.0,0.0,0
14,3,0.3333333333333333,180,0.0,0.0,0.0,0.0,0
16,3,0.6666666666666666,129,3.0,0.3333333333333333,0.0,0.6666666666666666,0
31,2,0.5,85,3.0,0.0,0.3333333333333333,0.6666666666666666,85
25,2,0.0,45,0.0,0.0,0.0,0.0,0
31,2,0.5,130,3.0,0.6666666666666666,0.0,0.3333333333333333,130
30,5,0.2,164,2.0,0.5,0.0,0.5,164
47,3,0.6666666666666666,167,0.0,0.0,0.0,0.0,167
29,5,0.4,170,0.0,0.0,0.0,0.0,0
43,1,1.0,120,1.0,0.0,0.0,1.0,120
23,1,1.0,96,0.0,0.0,0.0,0.0,0
27,2,0.0,159,1.0,0.0,0.0,0.0,159
34,2,0.0,99,0.0,0.0,0.0,0.0,0
12,2,0.5,118,2.0,0.0,0.5,0.5,118
37,1,1.0,172,1.0,1.0,0.0,0.0,172
38,3,0.0,67,1.0,1.0,0.0,0.0,67
30,1,1.0,180,0.0,0.0,0.0,0.0,0
25,2,0.0,90,2.0,1.0,0.0,0.0,90
49,2,0.5,126,0.0,0.0,0.0,0.0,126
35,1,0.0,156,0.0,0.0,0.0,0.0,0
41,2,0.5,120,2.0,0.5,0.0,0.5,120
33,3,0.0,77,0.0,0.0,0.0,0.0,77
